Source;Collection;Chapter;Date;Average;Time
go_problems;30k;Ch 1;;0;
go_problems;30k;Ch 2;;0;
go_problems;30k;Ch 3;;0;
go_problems;30k;Ch 4;;0;
go_problems;30k;Ch 5;;0;
go_problems;30k;Ch 6;;0;
go_problems;30k;Ch 7;;0;
go_problems;30k;Ch 8;;0;
go_problems;30k;Ch 9;;0;
go_problems;30k;Ch 10;;0;
go_problems;30k;Ch 11;;0;
go_problems;30k;Ch 12;;0;
go_problems;30k;Ch 13;;0;
go_problems;30k;Ch 14;;0;
guo_juan;How to review our own games;30k to 20k;04/05/2026;100%;1m32s
guo_juan;Most basic;Capturing stones 1st step;;0;
guo_juan;Most basic;Eye 1st step;;0;
guo_juan;Most basic;Opening 1st step;;0;
many_faces;Graded Go Problems I;lvl_17k;;0;
many_faces;Graded Go Problems I;lvl_18k;;0;
many_faces;Graded Go Problems I;lvl_19k;;0;
many_faces;Graded Go Problems I;lvl_20k;;0;
tsumego_hero;Easy Capture;Ch 1;13/04/2026;100%;501m25s
tsumego_hero;Easy Capture;Ch 2;;0;
tsumego_hero;Easy Capture;Ch 3;;0;
tsumego_hero;Easy Capture;Ch 4;;0;
tsumego_hero;Easy Kill;Ch 1;;0;
tsumego_hero;Easy Kill;Ch 2;;0;
tsumego_hero;Easy Kill;Ch 3;;0;
tsumego_hero;Easy Kill;Ch 4;;0;
tsumego_hero;Easy Life;Ch 1;;0;
tsumego_hero;Easy Life;Ch 2;;0;
tsumego_hero;Easy Life;Ch 3;;0;
tsumego_hero;Easy Life;Ch 4;;0;
tsumego_hero;Korean Problem Academy 1;Ch 1;12/04/2026;92%;2m35s
tsumego_hero;Korean Problem Academy 1;Ch 2;;0;
tsumego_hero;Korean Problem Academy 1;Ch 3;;0;
tsumego_hero;Korean Problem Academy 1;Ch 4;;0;
